Date,USD
2017/1/6,13861106.49
2017/1/7,13856196.27
2017/1/8,13861384.51
2017/1/9,13854298.97
2017/1/10,13858689.1
2017/1/11,13812102.22
2017/1/12,13808293.2
2017/1/13,13801846.35
2017/1/14,13805414.34
2017/1/15,13805688.7
2017/1/16,13805010.01
2017/1/17,13800784.31
2017/1/18,13802462.68
2017/1/19,13803943.45
2017/1/20,13804620.74
2017/1/21,13809020.29
2017/1/22,13796038.3
2017/1/23,13796030.41
2017/1/24,13786680.23
2017/1/25,13790642.53
2017/1/26,13774394.23
2017/1/27,13746823.8
2017/1/28,13766724.98
2017/1/29,13735077.1
2017/1/30,13776185.38
2017/1/31,13834325.1
2017/2/1,13817476.22
2017/2/2,13886638.1
2017/2/3,13943863.44
2017/2/4,14047398.27
2017/2/5,13909512.38
2017/2/6,13945251.15
2017/2/7,14021427.98
2017/2/8,14006321.13
2017/2/9,13860617.95
2017/2/10,13815136.84
2017/2/11,13809941.19
2017/2/12,13819342.4
2017/2/13,13831489.41
2017/2/14,14000248.74
2017/2/15,13990024.52
2017/2/16,14016556.26
2017/2/17,14001751.85
2017/2/18,14111565.29
2017/2/19,13981265.84
2017/2/20,13978700.88
2017/2/21,14011706.51
2017/2/22,14002540.52
2017/2/23,14051073.99
2017/2/24,14044641.99
2017/2/25,14022287.81
2017/2/26,14069457.39
2017/2/27,14111614.46
2017/2/28,14128276.53
2017/3/1,14223350.07
2017/3/2,14243244.47
2017/3/3,14290274.38
2017/3/4,14231312.71
2017/3/5,14245566.03
2017/3/6,14269713.35
2017/3/7,14238740.11
2017/3/8,14167078.04
2017/3/9,14159726.79
2017/3/10,14162157.53
2017/3/11,14147232.43
2017/3/12,14136768.88
2017/3/13,14220092.07
2017/3/14,14196960.4
2017/3/15,14268924.84
2017/3/16,14342672.94
2017/3/17,14319282.01
2017/3/18,14276777.23
2017/3/19,14301662.17
2017/3/20,14292807.49
2017/3/21,14269734.99
2017/3/22,14285439.46
2017/3/23,14359425.67
2017/3/24,14386915.97
2017/3/25,14371785.81
2017/3/26,14372541.6
2017/3/27,14365198.09
2017/3/28,14370632.22
2017/3/29,14374972.04
2017/3/30,14453801.68
2017/3/31,14471588.53
2017/4/1,14472143.86
2017/4/2,14646191.49
2017/4/3,14614844.39
2017/4/4,14621871.32
2017/4/5,14621159.61
2017/4/6,14618689.93
2017/4/7,14623262.96
2017/4/8,14620233.51
2017/4/9,14619837.31
2017/4/10,14620367
2017/4/11,14622810.09
2017/4/12,14622573.73
2017/4/13,14619290.31
2017/4/14,14612137.81
2017/4/15,14614068.2
2017/4/16,14614228.32
2017/4/17,14617198.53
2017/4/18,14631160.49
2017/4/19,14581684.54
2017/4/20,14725127.4
2017/4/21,14754630.23
2017/4/22,14824719.86
2017/4/23,14885030.68
2017/4/24,14835114.43
2017/4/25,14912519.02
2017/4/26,15017380.08
2017/4/27,15293752.08
2017/4/28,15471672.86
2017/4/29,15554654.34
2017/4/30,15627222.66
2017/5/1,15704657.7
2017/5/2,15709492.92
2017/5/3,15838011.24
2017/5/4,15949082.88
2017/5/5,15943872.12
2017/5/6,15999315.63
2017/5/7,16091146.99
2017/5/8,16146178.99
2017/5/9,16146403.02
2017/5/10,16173560.86
2017/5/11,16178745.01
2017/5/12,16158790.68
2017/5/13,16173213.32
2017/5/14,16175479.08
2017/5/15,16181558.34
2017/5/16,16198341.89
2017/5/17,16212956.43
2017/5/18,16215723.46
2017/5/19,16231423.18
2017/5/20,16244649.35
2017/5/21,16283342.29
2017/5/22,16306586.85
2017/5/23,16345957.75
2017/5/24,16420393.26
2017/5/25,16318323.72
2017/5/26,16253756.98
2017/5/27,16231732.38
2017/5/28,16231096.58
2017/5/29,16243007.89
2017/5/30,16268300.92
2017/5/31,16257389.23
2017/6/1,16265236.65
2017/6/2,16267671.3
2017/6/3,16270889.47
2017/6/4,16289167.56
2017/6/5,16317298.31
2017/6/6,16353943.76
2017/6/7,16315989.24
2017/6/8,16336111.76
2017/6/9,16345294.95
2017/6/10,16370252.88
2017/6/11,16392934.46
2017/6/12,16341679.4
2017/6/13,16338960.86
2017/6/14,16274881.71
2017/6/15,16277658.45
2017/6/16,16258549.54
2017/6/17,16353741.42
2017/6/18,16321880.51
2017/6/19,16364141.73
2017/6/20,16357421.88
2017/6/21,16298316.98
2017/6/22,16308283.54
2017/6/23,16313869.3
2017/6/24,16275104.49
2017/6/25,16276687.39
2017/6/26,16300292.44
2017/6/27,16239997.62
2017/6/28,16212551.58
2017/6/29,16217054.52
2017/6/30,16221628.04
2017/7/1,16232063.89
2017/7/2,16184115.63
2017/7/3,16190623.46
2017/7/4,16223505.66
2017/7/5,16216511.38
2017/7/6,16164853.13
2017/7/7,16158940.23
2017/7/8,16164368.23
2017/7/9,16199750.91
2017/7/10,16417057.94
2017/7/11,16498919.52
2017/7/12,16244854.59
2017/7/13,16271374.21
2017/7/14,16307364.12
2017/7/15,16383415.64
2017/7/16,16424234.76
2017/7/17,16239184.33
2017/7/18,16224225.43
2017/7/19,16226053.83
2017/7/20,16218811.17
2017/7/21,16208967.82
2017/7/22,16211567.72
2017/7/23,16208136.2
2017/7/24,16207692.75
2017/7/25,16198893.71
2017/7/26,16198658.67
2017/7/27,16199524.41
2017/7/28,16200649.07
2017/7/29,16195012.47
2017/7/30,16195283.81
2017/7/31,16194504.13
2017/8/1,16190564.46
2017/8/2,16185325.16
2017/8/3,16190557.18
2017/8/4,16192077.91
2017/8/5,16232403.19
2017/8/6,16226137.63
2017/8/7,16360327.49
2017/8/8,16501395.1
2017/8/9,16378293.39
2017/8/10,16344996.72
2017/8/11,16434813
2017/8/12,16444093.72
2017/8/13,16462685.47
2017/8/14,16496822.55
2017/8/15,16467846.49
2017/8/16,16489344.6
2017/8/17,16516081.4
2017/8/18,16579476.28
2017/8/19,16604636.42
2017/8/20,16597337.85
2017/8/21,16563601.27
2017/8/22,16664937.87
2017/8/23,16627304.71
2017/8/24,16561597.91
2017/8/25,16564339.34
2017/8/26,16557225.13
2017/8/27,16620596.41
2017/8/28,16655436.12
2017/8/29,16694847.07
2017/8/30,16742068.85
2017/8/31,16804230.77
2017/9/1,16897023.79
2017/9/2,16748134.1
2017/9/3,16745342.2
2017/9/4,16696501.2
2017/9/5,16682115.62
2017/9/6,16682445.55
2017/9/7,16670302.45
2017/9/8,16674592.45
2017/9/9,16676292.48
2017/9/10,16690092.66
2017/9/11,16692172.84
2017/9/12,16663226.05
2017/9/13,16674347.76
2017/9/14,16763568.31
2017/9/15,16634452.1
2017/9/16,16637934.65
2017/9/17,16638625.26
2017/9/18,16589898.11
2017/9/19,16589217.21
2017/9/20,16592313.5
2017/9/21,16603879.77
2017/9/22,16599179.88
2017/9/23,16587811.04
2017/9/24,16595276.36
2017/9/25,16579786.15
2017/9/26,16579524.09
2017/9/27,16577101.86
2017/9/28,16574722.48
2017/9/29,16562173.64
2017/9/30,16568085.67
2017/10/1,16571544.78
2017/10/2,16553236.31
2017/10/3,16549609.7
2017/10/4,16571778.29
2017/10/5,16620427.74
2017/10/6,16593325.48
2017/10/7,16624312.9
2017/10/8,16814334.98
2017/10/9,16759923.61
2017/10/10,16703057.58
2017/10/11,16697983.94
2017/10/12,16809653.23
2017/10/13,16828028.4
2017/10/14,16925942.18
2017/10/15,16893247.31
2017/10/16,16888247.79
2017/10/17,16737925.32
2017/10/18,16676615.14
2017/10/19,16694084.36
2017/10/20,16754255.55
2017/10/21,16692683.54
2017/10/22,16751554.43
2017/10/23,16852445.07
2017/10/24,16566575.67
2017/10/25,16558166.76
2017/10/26,16548096.63
2017/10/27,16532421
2017/10/28,16576458.17
2017/10/29,16413774.09
2017/10/30,16383210.37
2017/10/31,16512111.02
2017/11/1,16896021.85
2017/11/2,16952178.38
2017/11/3,16914167
2017/11/4,16928248.72
2017/11/5,16910849.64
2017/11/6,16726014.38
2017/11/7,16608349.32
2017/11/8,16592500.01
2017/11/9,16602718.65
2017/11/10,16430584.25
2017/11/11,16463146.39
2017/11/12,16537671.26
2017/11/13,16468738.81
2017/11/14,16532350.65
2017/11/15,16514729.73
2017/11/16,16860103.91
2017/11/17,16766023.08
2017/11/18,16834582.22
2017/11/19,16901404.84
2017/11/20,17001454.38
2017/11/21,16884754.19
2017/11/22,16947780.85
2017/11/23,16980951.95
2017/11/24,17250935.83
2017/11/25,17382828.09
2017/11/26,17342717.12
2017/11/27,17570819.77
2017/11/28,17624161.81
2017/11/29,17431594.61
2017/11/30,17445226.79
